Date,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Less than HS Share,High school Share,Some college Share,Bachelor's degree Share,Advanced degree Share,Men Less than HS,Men High school,Men Some college,Men Bachelor's degree,Men Advanced degree,Men Less than HS Share,Men High school Share,Men Some college Share,Men Bachelor's degree Share,Men Advanced degree Share,Women Less than HS,Women High school,Women Some college,Women Bachelor's degree,Women Advanced degree,Women Less than HS Share,Women High school Share,Women Some college Share,Women Bachelor's degree Share,Women Advanced degree Share,White Less than HS,White High school,White Some college,White Bachelor's degree,White Advanced degree,White Less than HS Share,White High school Share,White Some college Share,White Bachelor's degree Share,White Advanced degree Share,Black Less than HS,Black High school,Black Some college,Black Bachelor's degree,Black Advanced degree,Black Less than HS Share,Black High school Share,Black Some college Share,Black Bachelor's degree Share,Black Advanced degree Share,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor's degree,Hispanic Advanced degree,Hispanic Less than HS Share,Hispanic High school Share,Hispanic Some college Share,Hispanic Bachelor's degree Share,Hispanic Advanced degree Share,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor's degree,White Men Advanced degree,White Men Less than HS Share,White Men High school Share,White Men Some college Share,White Men Bachelor's degree Share,White Men Advanced degree Share,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor's degree,Black Men Advanced degree,Black Men Less than HS Share,Black Men High school Share,Black Men Some college Share,Black Men Bachelor's degree Share,Black Men Advanced degree Share,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor's degree,Hispanic Men Advanced degree,Hispanic Men Less than HS Share,Hispanic Men High school Share,Hispanic Men Some college Share,Hispanic Men Bachelor's degree Share,Hispanic Men Advanced degree Share,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor's degree,White Women Advanced degree,White Women Less than HS Share,White Women High school Share,White Women Some college Share,White Women Bachelor's degree Share,White Women Advanced degree Share,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor's degree,Black Women Advanced degree,Black Women Less than HS Share,Black Women High school Share,Black Women Some college Share,Black Women Bachelor's degree Share,Black Women Advanced degree Share,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor's degree,Hispanic Women Advanced degree,Hispanic Women Less than HS Share,Hispanic Women High school Share,Hispanic Women Some college Share,Hispanic Women Bachelor's degree Share,Hispanic Women Advanced degree Share
1999,14.61,20.67,23.36,35.76,46.02,0.13,0.32,0.29,0.18,0.09,16.16,23.31,26.34,40.71,51.52,0.15,0.32,0.27,0.18,0.09,12.42,17.78,20.55,30.53,39.36,0.11,0.32,0.31,0.18,0.08,14.97,21.44,24.18,36.64,46.77,0.10,0.32,0.29,0.20,0.10,13.92,18.19,20.54,30.96,39.41,0.13,0.37,0.33,0.13,0.05,14.30,18.65,21.00,31.28,43.81,0.37,0.30,0.22,0.08,0.03,16.81,24.40,27.44,41.96,52.44,0.11,0.32,0.28,0.20,0.10,15.28,20.01,22.34,32.82,42.90,0.13,0.40,0.31,0.12,0.04,15.44,20.34,22.90,34.39,50.16,0.42,0.29,0.19,0.07,0.03,12.42,18.22,21.01,30.77,39.76,0.08,0.32,0.31,0.20,0.09,12.72,16.42,19.21,29.54,37.04,0.13,0.34,0.35,0.13,0.05,12.16,16.38,19.03,28.09,35.95,0.31,0.30,0.26,0.09,0.03
1998,14.57,20.39,23.02,34.97,44.49,0.13,0.32,0.29,0.18,0.08,16.04,22.99,25.86,39.63,49.41,0.15,0.32,0.27,0.18,0.09,12.40,17.54,20.34,30.01,38.56,0.11,0.32,0.31,0.18,0.08,15.01,21.15,23.74,35.87,45.34,0.10,0.32,0.30,0.20,0.09,13.69,17.88,20.59,30.18,38.59,0.15,0.37,0.31,0.13,0.05,14.13,18.52,21.10,30.79,39.21,0.38,0.29,0.22,0.08,0.03,16.88,24.06,26.88,40.98,50.69,0.11,0.32,0.28,0.20,0.10,14.74,19.60,22.33,32.05,41.17,0.16,0.38,0.29,0.12,0.04,15.14,20.18,22.84,33.66,42.99,0.43,0.28,0.19,0.07,0.03,12.43,17.97,20.71,30.28,38.80,0.09,0.32,0.31,0.20,0.09,12.57,16.25,19.29,28.68,36.92,0.13,0.35,0.34,0.13,0.05,12.10,16.27,19.21,27.55,34.36,0.32,0.30,0.26,0.09,0.03
1997,14.07,19.95,22.54,33.44,43.68,0.13,0.33,0.29,0.18,0.08,15.44,22.58,25.33,37.84,48.47,0.15,0.32,0.27,0.17,0.08,12.02,17.11,19.85,28.84,37.80,0.11,0.33,0.31,0.18,0.07,14.44,20.72,23.29,34.27,44.54,0.10,0.33,0.29,0.19,0.09,13.53,17.43,19.89,28.11,36.01,0.15,0.37,0.31,0.12,0.05,13.61,17.85,20.37,29.64,38.56,0.38,0.29,0.22,0.08,0.03,16.20,23.71,26.42,38.95,49.60,0.11,0.33,0.28,0.19,0.09,14.71,19.11,21.36,30.09,39.08,0.17,0.39,0.29,0.11,0.04,14.46,19.44,22.11,31.80,40.93,0.43,0.28,0.20,0.07,0.03,11.98,17.51,20.23,29.21,38.30,0.08,0.33,0.31,0.19,0.08,12.25,15.83,18.78,26.60,33.90,0.13,0.36,0.33,0.13,0.05,11.83,15.66,18.37,27.23,34.91,0.31,0.31,0.26,0.09,0.03
1996,13.95,19.62,22.11,32.50,43.35,0.13,0.33,0.29,0.17,0.08,15.45,22.11,24.79,36.80,47.89,0.15,0.32,0.27,0.17,0.09,11.75,16.92,19.55,27.98,37.61,0.11,0.33,0.31,0.18,0.07,14.25,20.39,22.86,33.33,44.07,0.10,0.33,0.30,0.19,0.09,13.58,16.90,19.12,27.48,36.19,0.15,0.37,0.32,0.12,0.05,13.57,17.41,20.05,28.59,41.41,0.38,0.30,0.22,0.08,0.03,16.11,23.23,25.80,37.90,48.96,0.11,0.33,0.28,0.19,0.10,15.17,18.12,20.71,29.62,36.79,0.17,0.39,0.30,0.10,0.04,14.43,18.80,21.71,30.18,43.30,0.43,0.29,0.19,0.07,0.03,11.73,17.32,19.98,28.32,37.88,0.09,0.33,0.32,0.19,0.08,11.77,15.70,17.92,26.03,35.73,0.13,0.35,0.34,0.14,0.05,11.77,15.53,18.28,26.75,38.63,0.31,0.32,0.27,0.09,0.03
1995,13.95,19.68,22.04,32.86,43.27,0.13,0.33,0.30,0.17,0.08,15.39,22.20,24.78,37.07,47.93,0.15,0.32,0.28,0.17,0.09,11.84,16.95,19.43,28.21,37.21,0.11,0.33,0.32,0.17,0.07,14.40,20.36,22.60,33.52,43.72,0.10,0.33,0.30,0.18,0.09,13.66,17.08,19.66,28.80,38.50,0.14,0.37,0.32,0.12,0.04,13.22,17.72,20.42,28.40,42.02,0.38,0.29,0.23,0.07,0.03,16.18,23.21,25.62,38.04,48.72,0.11,0.33,0.28,0.19,0.10,15.14,18.59,21.05,29.82,39.26,0.16,0.40,0.29,0.11,0.04,14.13,19.09,22.31,30.07,45.82,0.43,0.28,0.21,0.06,0.03,11.97,17.32,19.69,28.33,37.12,0.09,0.33,0.32,0.18,0.08,12.07,15.53,18.59,27.99,37.90,0.13,0.35,0.35,0.13,0.05,11.35,15.91,18.17,26.66,36.22,0.31,0.31,0.26,0.09,0.03
1994,14.33,19.88,22.26,32.72,43.46,0.13,0.33,0.29,0.17,0.08,15.72,22.39,24.89,36.89,47.61,0.15,0.33,0.27,0.17,0.08,12.26,17.20,19.76,28.08,38.13,0.11,0.34,0.31,0.17,0.07,14.72,20.47,22.81,33.40,43.91,0.10,0.34,0.30,0.18,0.09,14.27,17.45,20.01,28.40,37.79,0.15,0.37,0.31,0.12,0.04,13.54,18.40,20.53,29.49,42.28,0.38,0.29,0.23,0.07,0.03,16.53,23.28,25.72,37.84,48.32,0.11,0.33,0.28,0.19,0.09,15.83,19.12,21.44,30.09,38.49,0.17,0.39,0.29,0.12,0.04,14.24,19.83,22.04,31.88,46.22,0.43,0.28,0.20,0.06,0.03,12.19,17.51,20.01,28.27,38.19,0.09,0.34,0.32,0.18,0.08,12.45,15.79,18.90,27.01,37.24,0.13,0.35,0.34,0.13,0.04,12.07,16.47,18.86,26.70,36.96,0.31,0.31,0.27,0.08,0.03
1993,14.60,19.65,22.27,32.16,41.45,0.13,0.34,0.28,0.16,0.08,16.09,22.18,24.84,36.37,46.08,0.15,0.34,0.26,0.16,0.08,12.36,16.99,19.82,27.58,35.48,0.11,0.35,0.30,0.16,0.07,15.08,20.26,22.83,32.74,42.12,0.10,0.35,0.29,0.18,0.08,14.28,17.16,19.72,28.74,35.90,0.16,0.39,0.29,0.12,0.04,13.75,18.00,20.80,28.48,37.92,0.38,0.29,0.23,0.07,0.03,16.99,23.13,25.66,37.25,47.15,0.12,0.34,0.27,0.18,0.09,15.57,18.49,21.06,30.27,36.17,0.18,0.41,0.26,0.11,0.04,14.61,19.32,22.50,31.03,39.16,0.43,0.28,0.20,0.06,0.03,12.42,17.27,20.10,27.68,35.52,0.09,0.36,0.31,0.18,0.08,12.73,15.84,18.70,27.45,35.67,0.14,0.38,0.32,0.12,0.05,11.94,16.25,18.79,25.57,36.49,0.31,0.32,0.26,0.08,0.03
1992,14.87,19.65,22.26,32.16,40.94,0.14,0.35,0.28,0.16,0.08,16.42,22.32,24.95,36.38,45.58,0.16,0.34,0.26,0.16,0.08,12.54,16.88,19.67,27.51,34.82,0.12,0.36,0.29,0.16,0.07,15.31,20.28,22.76,32.73,41.59,0.11,0.35,0.28,0.17,0.08,14.56,17.08,19.96,28.15,35.01,0.18,0.39,0.28,0.11,0.04,14.04,17.78,20.89,29.05,36.44,0.39,0.30,0.21,0.07,0.03,17.33,23.26,25.80,37.29,46.58,0.12,0.35,0.27,0.18,0.09,15.71,18.55,21.13,29.60,36.17,0.20,0.39,0.27,0.10,0.04,14.91,19.32,22.62,31.19,37.89,0.44,0.29,0.19,0.06,0.03,12.47,17.20,19.82,27.53,34.93,0.09,0.36,0.30,0.17,0.07,13.21,15.73,18.98,27.01,34.10,0.16,0.39,0.29,0.11,0.05,12.18,15.79,18.89,26.66,34.62,0.31,0.33,0.25,0.08,0.03
1991,14.99,19.77,22.49,31.87,40.71,0.15,0.36,0.26,0.16,0.08,16.66,22.49,25.46,36.36,45.38,0.17,0.34,0.25,0.16,0.08,12.47,16.97,19.57,26.92,34.11,0.13,0.37,0.28,0.16,0.07,15.56,20.40,22.97,32.48,41.24,0.12,0.36,0.27,0.17,0.08,14.14,17.22,20.41,27.88,34.05,0.18,0.41,0.26,0.11,0.04,14.12,17.81,20.99,27.95,36.37,0.41,0.30,0.20,0.07,0.03,17.69,23.52,26.21,37.38,46.17,0.13,0.34,0.26,0.18,0.09,15.42,18.64,22.27,29.17,35.93,0.20,0.42,0.24,0.10,0.04,15.04,19.17,23.07,30.07,38.59,0.46,0.28,0.18,0.06,0.03,12.52,17.25,19.75,26.95,34.10,0.10,0.37,0.29,0.17,0.07,12.61,15.84,18.91,26.81,32.58,0.16,0.40,0.28,0.12,0.04,12.19,16.11,18.51,25.40,33.75,0.33,0.33,0.22,0.08,0.03
1990,15.05,19.74,22.58,32.21,39.95,0.16,0.36,0.26,0.16,0.07,16.90,22.69,25.75,36.77,44.60,0.18,0.34,0.24,0.16,0.08,12.23,16.69,19.48,27.07,33.14,0.13,0.37,0.28,0.16,0.06,15.52,20.35,23.09,32.89,40.43,0.12,0.36,0.26,0.17,0.08,14.21,17.24,20.22,26.89,34.39,0.19,0.41,0.26,0.10,0.04,14.40,17.93,20.88,29.97,35.84,0.42,0.30,0.19,0.07,0.03,17.76,23.67,26.52,37.82,45.34,0.14,0.35,0.25,0.17,0.09,15.80,18.91,22.17,28.54,36.07,0.22,0.42,0.23,0.10,0.04,15.53,19.48,22.99,32.47,38.94,0.46,0.28,0.18,0.06,0.02,12.29,16.95,19.67,27.19,33.09,0.11,0.38,0.28,0.17,0.07,12.20,15.63,18.77,25.51,32.97,0.17,0.40,0.28,0.11,0.04,12.07,15.93,18.33,26.63,32.33,0.35,0.33,0.22,0.07,0.03
1989,15.46,20.07,22.61,31.89,39.80,0.16,0.36,0.25,0.15,0.08,17.63,23.31,25.78,36.60,44.02,0.18,0.34,0.24,0.15,0.08,12.25,16.77,19.47,26.48,33.54,0.14,0.38,0.27,0.15,0.06,15.93,20.63,23.09,32.56,40.29,0.13,0.37,0.26,0.16,0.08,14.38,17.55,20.29,27.14,34.64,0.21,0.39,0.26,0.10,0.04,14.88,18.26,21.09,28.68,37.76,0.42,0.30,0.19,0.07,0.03,18.48,24.21,26.61,37.60,44.70,0.14,0.35,0.24,0.17,0.09,16.17,19.44,21.88,28.58,34.97,0.24,0.40,0.23,0.09,0.04,16.21,20.25,22.76,31.51,41.39,0.47,0.27,0.17,0.06,0.03,12.30,17.01,19.55,26.54,33.48,0.11,0.39,0.27,0.16,0.07,12.14,15.69,19.00,25.97,34.39,0.18,0.39,0.28,0.11,0.05,12.13,15.95,19.17,25.12,32.88,0.34,0.34,0.22,0.07,0.03
1988,15.79,20.66,23.03,33.41,41.12,0.16,0.36,0.25,0.15,0.07,18.02,24.18,26.71,39.34,46.35,0.19,0.35,0.23,0.16,0.08,12.46,17.08,19.39,26.37,32.97,0.14,0.39,0.27,0.15,0.06,16.32,21.23,23.48,34.14,41.56,0.13,0.37,0.25,0.16,0.08,14.73,18.16,21.05,28.58,37.89,0.22,0.40,0.25,0.10,0.04,14.85,18.57,21.22,29.40,38.01,0.41,0.30,0.19,0.07,0.03,18.94,25.11,27.51,40.28,46.94,0.15,0.35,0.24,0.17,0.09,16.63,20.23,23.81,32.08,40.13,0.25,0.40,0.23,0.09,0.04,16.19,20.73,22.93,32.91,42.37,0.45,0.28,0.16,0.07,0.03,12.52,17.31,19.45,26.54,32.92,0.12,0.39,0.27,0.16,0.07,12.32,16.17,18.67,26.04,35.80,0.19,0.40,0.26,0.12,0.04,12.27,15.77,19.43,24.59,31.65,0.35,0.32,0.23,0.08,0.03
1987,15.76,20.60,23.17,33.19,40.55,0.17,0.37,0.25,0.15,0.07,18.05,24.17,27.02,39.07,45.58,0.19,0.35,0.23,0.16,0.08,12.36,16.98,19.25,26.11,32.69,0.14,0.39,0.26,0.15,0.06,16.17,21.14,23.69,33.92,40.91,0.14,0.38,0.25,0.16,0.07,14.92,18.05,20.67,27.72,35.92,0.22,0.39,0.25,0.10,0.04,15.06,18.69,21.10,29.66,37.24,0.40,0.30,0.20,0.07,0.03,18.86,25.05,27.90,40.04,46.03,0.15,0.35,0.24,0.17,0.09,16.77,20.18,22.91,30.71,38.99,0.25,0.39,0.23,0.09,0.04,16.39,20.81,22.92,33.62,40.41,0.45,0.28,0.18,0.07,0.03,12.31,17.20,19.34,26.26,32.58,0.12,0.40,0.26,0.15,0.06,12.60,16.03,18.76,25.21,33.45,0.20,0.40,0.26,0.11,0.04,12.31,15.97,18.92,25.01,32.33,0.33,0.33,0.23,0.08,0.03
1986,16.10,20.61,23.12,32.67,39.88,0.17,0.37,0.24,0.15,0.07,18.44,24.24,27.04,38.52,44.72,0.19,0.35,0.23,0.15,0.08,12.59,16.94,19.04,25.45,32.03,0.15,0.40,0.26,0.14,0.06,16.56,21.12,23.56,33.32,40.23,0.14,0.38,0.25,0.16,0.07,15.20,18.04,20.54,26.96,35.42,0.23,0.40,0.24,0.10,0.03,15.24,18.86,21.54,29.63,36.13,0.40,0.31,0.19,0.07,0.03,19.25,25.13,27.79,39.41,45.15,0.16,0.35,0.24,0.17,0.09,17.15,20.07,22.95,29.80,38.37,0.26,0.39,0.22,0.09,0.03,16.71,20.82,23.92,33.35,41.20,0.44,0.29,0.17,0.07,0.03,12.64,17.09,19.10,25.53,31.99,0.12,0.41,0.26,0.15,0.06,12.78,16.09,18.48,24.60,33.04,0.20,0.40,0.25,0.11,0.04,12.18,16.35,18.68,24.92,28.90,0.33,0.35,0.22,0.08,0.03
1985,16.08,20.40,22.60,31.50,38.31,0.18,0.37,0.24,0.15,0.07,18.46,24.14,26.25,37.00,42.75,0.20,0.35,0.23,0.15,0.08,12.49,16.60,18.69,24.69,30.90,0.15,0.40,0.25,0.14,0.05,16.60,20.90,23.06,32.00,38.75,0.15,0.38,0.25,0.16,0.07,14.83,17.70,20.01,27.50,34.22,0.25,0.39,0.24,0.09,0.04,15.24,18.84,21.27,28.37,35.02,0.42,0.30,0.19,0.07,0.03,19.37,24.97,26.98,37.69,43.33,0.16,0.35,0.24,0.16,0.08,16.69,19.66,22.03,30.73,37.43,0.28,0.38,0.22,0.08,0.04,16.63,21.18,23.68,31.69,39.07,0.47,0.28,0.17,0.06,0.03,12.50,16.74,18.77,24.61,30.83,0.13,0.41,0.26,0.15,0.06,12.45,15.87,18.30,25.15,31.28,0.21,0.40,0.25,0.11,0.04,12.40,15.89,18.38,24.12,29.40,0.35,0.33,0.22,0.08,0.03
1984,16.21,20.30,22.37,31.07,37.45,0.18,0.37,0.24,0.14,0.07,18.66,24.06,25.97,36.63,41.30,0.20,0.35,0.23,0.15,0.08,12.55,16.45,18.44,24.11,30.55,0.16,0.40,0.25,0.14,0.05,16.70,20.73,22.75,31.67,37.67,0.15,0.38,0.24,0.15,0.07,14.98,17.72,20.33,26.50,33.82,0.26,0.38,0.23,0.09,0.04,15.31,19.02,20.97,26.42,34.76,0.42,0.30,0.20,0.06,0.03,19.40,24.77,26.50,37.38,41.64,0.17,0.35,0.24,0.16,0.08,17.04,19.87,22.99,30.37,35.77,0.29,0.38,0.22,0.08,0.04,16.97,21.42,23.71,29.77,37.26,0.46,0.28,0.18,0.06,0.03,12.60,16.58,18.55,24.13,30.31,0.13,0.41,0.25,0.15,0.06,12.39,15.65,18.04,23.66,31.81,0.23,0.39,0.25,0.10,0.04,12.39,16.25,17.79,22.23,30.82,0.36,0.34,0.22,0.06,0.02
1983,16.43,20.43,22.28,30.73,36.78,0.19,0.37,0.24,0.14,0.07,18.89,24.33,26.04,36.21,40.53,0.21,0.34,0.23,0.15,0.08,12.72,16.52,18.23,23.75,29.65,0.16,0.41,0.25,0.14,0.05,16.92,20.81,22.64,31.22,36.89,0.16,0.38,0.24,0.15,0.07,15.39,18.20,20.11,26.16,33.74,0.28,0.38,0.22,0.09,0.04,15.30,19.09,21.43,27.83,32.75,0.42,0.31,0.19,0.06,0.02,19.68,25.00,26.58,36.82,40.56,0.17,0.35,0.23,0.16,0.09,17.29,20.55,22.95,29.41,36.96,0.32,0.37,0.21,0.07,0.04,16.91,21.64,23.49,31.75,36.37,0.46,0.28,0.17,0.06,0.02,12.73,16.63,18.29,23.71,29.60,0.14,0.42,0.25,0.14,0.05,12.92,15.94,17.71,23.73,30.64,0.24,0.38,0.24,0.10,0.04,12.35,16.02,18.94,23.17,26.31,0.37,0.34,0.21,0.07,0.02
1982,16.73,20.65,22.43,30.55,36.08,0.20,0.37,0.23,0.14,0.06,19.34,24.64,26.22,35.80,39.95,0.22,0.34,0.22,0.14,0.08,12.82,16.63,18.26,23.57,28.81,0.17,0.41,0.24,0.13,0.05,17.23,21.02,22.83,31.12,36.20,0.17,0.38,0.24,0.15,0.07,15.43,18.18,19.91,25.82,32.40,0.29,0.37,0.22,0.08,0.03,15.67,19.43,20.98,27.19,33.42,0.45,0.29,0.18,0.06,0.02,20.15,25.29,26.83,36.50,40.13,0.18,0.35,0.23,0.16,0.08,17.57,20.56,22.23,28.87,34.32,0.33,0.36,0.20,0.07,0.03,17.27,21.93,23.69,29.94,34.90,0.49,0.27,0.16,0.06,0.02,12.85,16.71,18.34,23.55,28.56,0.15,0.42,0.25,0.13,0.05,12.81,15.95,17.88,23.54,30.65,0.26,0.38,0.23,0.10,0.04,12.67,16.48,17.68,23.98,30.21,0.38,0.33,0.20,0.07,0.02
1981,17.07,20.68,22.47,30.17,35.32,0.21,0.37,0.23,0.13,0.06,19.64,24.84,26.24,35.41,38.72,0.23,0.34,0.22,0.14,0.07,13.12,16.46,18.13,22.94,28.51,0.19,0.41,0.23,0.12,0.04,17.60,21.03,22.79,30.71,35.42,0.18,0.38,0.23,0.14,0.06,15.81,18.35,20.56,25.59,32.92,0.31,0.37,0.21,0.08,0.03,15.80,19.41,21.40,26.24,35.61,0.47,0.28,0.17,0.05,0.02,20.46,25.43,26.74,36.08,38.93,0.20,0.35,0.23,0.15,0.08,18.08,21.02,23.15,27.93,34.94,0.35,0.36,0.20,0.07,0.03,17.20,22.36,24.45,29.90,37.31,0.52,0.25,0.16,0.05,0.02,13.19,16.55,18.16,22.87,28.11,0.16,0.43,0.24,0.13,0.05,12.88,15.86,18.14,23.82,31.05,0.27,0.39,0.22,0.09,0.03,13.02,16.13,17.49,21.29,31.21,0.40,0.34,0.19,0.06,0.01
1980,17.42,20.90,22.73,30.04,35.53,0.22,0.37,0.22,0.13,0.06,20.08,25.18,26.63,35.16,39.00,0.24,0.34,0.22,0.13,0.07,13.22,16.54,18.12,22.96,28.47,0.19,0.41,0.23,0.12,0.04,17.94,21.27,23.09,30.44,35.61,0.19,0.38,0.23,0.14,0.06,15.77,18.54,20.76,26.23,35.10,0.33,0.37,0.20,0.08,0.03,16.40,19.43,20.94,27.48,33.01,0.48,0.28,0.17,0.06,0.02,20.89,25.81,27.19,35.62,39.07,0.21,0.34,0.22,0.15,0.08,17.86,21.21,23.40,29.29,38.95,0.37,0.35,0.19,0.06,0.03,18.13,22.29,23.28,31.33,35.93,0.53,0.25,0.16,0.05,0.02,13.30,16.62,18.12,22.86,28.12,0.17,0.43,0.23,0.13,0.04,12.98,16.09,18.28,23.99,31.58,0.29,0.39,0.21,0.09,0.03,12.87,16.16,17.86,22.60,28.23,0.40,0.33,0.18,0.06,0.02
1979,17.95,21.62,23.20,30.57,36.19,0.23,0.37,0.22,0.12,0.05,20.74,26.04,27.18,35.72,39.52,0.25,0.34,0.21,0.13,0.07,13.54,16.94,18.25,23.26,28.83,0.21,0.41,0.22,0.12,0.04,18.48,21.99,23.56,30.99,36.48,0.21,0.38,0.22,0.13,0.06,16.40,19.13,21.15,26.78,32.78,0.35,0.35,0.19,0.07,0.03,16.81,19.96,21.42,26.67,34.47,0.48,0.29,0.16,0.05,0.02,21.54,26.65,27.73,36.16,39.80,0.22,0.35,0.22,0.14,0.07,18.60,22.04,24.04,30.51,36.40,0.40,0.34,0.18,0.06,0.03,18.69,23.11,23.71,30.46,35.93,0.52,0.25,0.16,0.04,0.03,13.63,17.05,18.22,23.23,28.64,0.18,0.43,0.23,0.12,0.04,13.33,16.30,18.54,23.84,29.34,0.30,0.37,0.21,0.08,0.03,13.20,16.27,18.02,21.94,30.87,0.42,0.34,0.17,0.06,0.02
1978,17.29,21.52,23.25,30.90,37.56,0.26,0.36,0.21,0.12,0.05,20.10,25.97,27.14,35.92,40.89,0.27,0.33,0.21,0.13,0.07,13.02,16.84,18.17,23.65,30.00,0.23,0.41,0.21,0.12,0.04,17.88,21.83,23.59,31.24,37.50,0.23,0.37,0.22,0.13,0.06,15.19,19.79,20.39,27.79,36.63,0.39,0.35,0.17,0.07,0.03,16.30,19.11,22.08,25.79,37.36,0.50,0.27,0.17,0.04,0.02,20.92,26.54,27.63,36.41,40.95,0.24,0.33,0.22,0.14,0.07,17.35,22.73,22.73,30.44,39.69,0.42,0.33,0.16,0.06,0.02,18.06,21.80,25.17,29.24,41.47,0.53,0.25,0.17,0.04,0.02,13.09,16.85,18.15,23.50,29.35,0.20,0.42,0.21,0.12,0.04,12.67,17.00,18.24,25.47,34.08,0.36,0.36,0.18,0.07,0.03,13.08,15.72,17.56,21.26,28.97,0.45,0.31,0.18,0.05,0.01
1977,17.59,21.50,22.97,31.07,37.36,0.26,0.36,0.20,0.12,0.05,20.43,25.97,26.70,36.09,40.56,0.28,0.33,0.20,0.12,0.06,13.08,16.71,17.92,23.88,30.33,0.24,0.41,0.20,0.12,0.04,18.09,21.85,23.29,31.41,37.44,0.23,0.38,0.21,0.13,0.06,15.73,18.83,20.83,27.24,36.03,0.40,0.34,0.16,0.06,0.03,16.54,20.25,21.06,29.72,32.06,0.51,0.25,0.17,0.05,0.02,21.12,26.55,27.22,36.55,40.97,0.25,0.34,0.21,0.13,0.07,17.94,21.56,22.76,29.19,34.53,0.44,0.32,0.16,0.05,0.02,18.68,22.73,23.45,33.91,32.92,0.53,0.23,0.17,0.06,0.02,13.17,16.75,17.85,23.76,29.17,0.21,0.42,0.21,0.12,0.04,12.80,16.30,18.87,25.83,37.10,0.36,0.37,0.17,0.07,0.04,12.66,17.22,17.12,21.49,30.31,0.47,0.30,0.17,0.05,0.02
1976,17.52,21.76,23.49,31.46,37.50,0.27,0.36,0.20,0.12,0.05,20.36,26.14,27.10,36.42,40.31,0.29,0.33,0.20,0.12,0.06,12.96,17.01,18.37,24.52,31.05,0.25,0.41,0.20,0.11,0.04,17.89,22.09,23.79,31.75,37.65,0.24,0.37,0.21,0.12,0.05,15.90,19.37,21.93,27.17,37.05,0.42,0.34,0.16,0.06,0.02,16.71,20.17,20.74,26.91,34.95,0.54,0.24,0.16,0.05,0.02,20.94,26.57,27.51,36.86,40.40,0.26,0.34,0.21,0.13,0.07,18.26,22.80,24.57,29.06,39.63,0.47,0.31,0.16,0.04,0.02,18.29,23.14,23.13,30.44,42.59,0.58,0.20,0.16,0.05,0.02,12.88,17.08,18.33,24.26,30.86,0.22,0.42,0.20,0.12,0.04,12.75,16.40,19.11,26.10,34.92,0.36,0.38,0.15,0.08,0.03,13.79,17.29,17.40,20.29,20.93,0.47,0.31,0.17,0.04,0.02
1975,17.30,21.55,23.30,31.45,38.41,0.28,0.36,0.19,0.12,0.05,20.00,26.02,26.93,36.21,40.86,0.30,0.33,0.20,0.12,0.06,12.91,16.54,17.91,24.44,32.14,0.26,0.41,0.19,0.11,0.03,17.83,21.94,23.66,31.89,38.65,0.25,0.38,0.20,0.12,0.05,15.35,18.41,21.01,28.05,36.42,0.44,0.33,0.15,0.06,0.02,16.14,19.57,20.68,25.15,25.67,0.52,0.26,0.15,0.05,0.02,20.75,26.57,27.41,36.77,41.06,0.27,0.34,0.21,0.13,0.06,17.51,21.37,23.54,28.22,39.16,0.49,0.29,0.15,0.05,0.02,17.78,22.27,23.35,31.29,26.52,0.56,0.23,0.14,0.04,0.03,12.98,16.62,17.93,24.25,32.33,0.23,0.43,0.19,0.12,0.03,12.48,15.88,18.11,27.93,33.03,0.39,0.37,0.14,0.08,0.02,12.87,16.04,17.04,18.85,23.63,0.46,0.29,0.17,0.06,0.02
1974,17.68,21.60,23.32,31.69,38.37,0.30,0.36,0.19,0.11,0.05,20.63,26.15,26.79,36.62,41.03,0.32,0.32,0.19,0.11,0.06,12.87,16.49,17.91,24.70,30.78,0.28,0.41,0.18,0.11,0.03,18.15,21.97,23.68,31.97,38.37,0.27,0.37,0.19,0.11,0.05,15.61,18.70,20.41,28.46,36.81,0.47,0.32,0.14,0.06,0.02,17.26,19.65,20.82,28.46,29.35,0.54,0.26,0.14,0.04,0.01,21.27,26.68,27.31,37.00,41.11,0.29,0.33,0.20,0.12,0.06,18.17,22.07,22.69,29.45,38.52,0.51,0.30,0.13,0.05,0.02,19.26,22.53,22.15,33.14,30.49,0.58,0.22,0.15,0.04,0.02,12.96,16.61,17.80,24.48,30.50,0.25,0.43,0.18,0.11,0.03,12.31,15.55,18.19,27.80,33.86,0.42,0.35,0.15,0.07,0.01,13.24,16.29,18.17,21.70,26.74,0.49,0.32,0.13,0.05,0.01
